B6Ni20Ti3,3,B Ni Ti,6 20 3,1.180206897,1878.310345,4.939410257,1.89862069,0.132397628,7.931034483,3.095391842,2.02E+11,63.95413041,IM,IM,0,1,0,2,,____,,
AuBe5,2,Au Be,1 5,1.180333333,1522.888333,0,1.731666667,0.361497656,3.5,3.354101966,1.45E+11,33.54101966,IM,IM,0,1,0,2,,12,,
B6Hf2Ni21,3,B Hf Ni,6 2 21,1.180758621,1909.931034,5.926296753,1.894827586,0.170083563,8.137931034,3.025456796,2.04E+11,61.72895377,IM,IM,0,1,0,2,,____,,
FeSi2,2,Fe Si,1 2,1.182333333,1728.333333,1.833239803,1.876666667,0.032998316,5.333333333,1.885618083,1.23E+11,32.99831646,IM,IM,0,1,0,2,,____,,
B6Ni21Zr2,3,B Ni Zr,6 21 2,1.182482759,1883.862069,7.095015022,1.896896552,0.162864518,8.137931034,3.025456796,2.01E+11,66.46445502,IM,IM,0,1,0,2,,____,,
B6Ni21Sn2,3,B Ni Sn,6 21 2,1.183655172,1771.936552,5.867272128,1.940344828,0.052422867,8.137931034,3.025456796,2.01E+11,68.25893207,IM,IM,0,1,0,2,,____,,
CrSi2,2,Cr Si,1 2,1.185,1851.333333,1.937996363,1.82,0.113137085,4.666666667,0.942809042,1.20E+11,28.28427125,IM,IM,0,1,0,2,,____,,
Fe81Si2B13Nb3Cu1,5,Fe Si B Nb Cu,81 2 13 3 1,1.19052,1901.9677,5.619381257,1.8525,0.083431109,7.21,1.818213409,1.88E+11,52.1071972,BCC,SS,0,0,1,3,18,11,,
Co63Fe9Zr8B20,4,Co Fe Zr B,63 9 8 20,1.19206,1916.67,9.010911186,1.8635,0.171092811,7.31,2.536513355,1.98E+11,67.41701895,AM,AM,1,0,0,1,33,9,,
B6Co20In3,3,B Co In,6 20 3,1.193793103,1749.560345,8.081578298,1.902758621,0.076243555,7.137931034,2.775808524,1.94E+11,78.04050698,IM,IM,0,1,0,2,,____,,
B2MgNi7,3,B Mg Ni,2 1 7,1.1963,1771.5,4.722087674,1.876,0.195509591,7.8,3.370459909,1.95E+11,74.37909653,IM,IM,0,1,0,2,,____,,
FeSi2,2,Fe Si,1 1,1.197,1749,0,1.865,0.035,6,2,1.35E+11,35,IM,IM,0,1,0,2,,____,,
Fe73.5Si13.5B9Nb3Cu,5,Fe Si B Nb Cu,73.5 13.5 9 3 1,1.19724,1866.2277,5.673844957,1.85215,0.075999194,6.95,1.9150718,1.74E+11,51.78259843,BCC,SS,0,0,1,3,18,11,,
Cr55Co24Nb7B14,4,Cr Co Nb B,55 24 7 14,1.20202,2144.54,7.83184931,1.7618,0.147379646,6.23,1.853941747,1.88E+11,53.93134525,AM,AM,1,0,0,1,55,1,,
Cr50Co29Nb7B14,4,Cr Co Nb B,50 29 7 14,1.20212,2123.94,8.003736406,1.7728,0.147581029,6.38,1.948229966,1.89E+11,53.58908471,AM,AM,1,0,0,1,55,1,,
Cr45Co34Nb7B14,4,Cr Co Nb B,45 34 7 14,1.20222,2103.34,8.090024941,1.7838,0.146961083,6.53,2.027091512,1.90E+11,53.22583959,AM,AM,1,0,0,1,55,1,,
Be3Nb,2,Be Nb,3 1,1.20325,1857.5,2.706329387,1.5775,0.012990381,2.75,1.299038106,1.40E+11,17.32050808,IM,IM,0,1,0,2,,12,,
Si2V,2,Si V,2 1,1.207333333,1852.333333,2.514157444,1.81,0.127279221,4.333333333,0.471404521,1.20E+11,28.28427125,IM,IM,0,1,0,2,,____,,
Ni65Nb5Cr5Mo5P14B6,6,Ni Nb Cr Mo P B,65 5 5 5 14 6,1.20955,1699.802,9.045915472,1.9415,0.148501683,8.23,2.481350439,1.66E+11,71.56250694,AM,AM,1,0,0,1,93,1,,
Fe2Si,2,Fe Si,2 1,1.211666667,1769.666667,1.833239803,1.853333333,0.032998316,6.666666667,1.885618083,1.47E+11,32.99831646,IM,IM,0,1,0,2,,____,,
AlBe4Mn,3,Al Be Mn,1 4 1,1.215666667,1448.745,3.224137362,1.573333333,0.017950549,3,1.825741858,1.19E+11,19.72026594,IM,IM,0,1,0,2,,____,,
MoSi2,2,Mo Si,1 2,1.223,2090,1.833239803,1.986666667,0.122565175,4.666666667,0.942809042,1.43E+11,61.2825877,IM,IM,0,1,0,2,,____,,
Cr3Si,2,Cr Si,3 1,1.225,2056.75,4.005367493,1.72,0.103923048,5.5,0.866025404,1.45E+11,25.98076211,IM,IM,0,1,0,2,,12,,
Fe89Zr5B6,3,Fe Zr B,89 5 6,1.23384,1859.07,5.657060995,1.8176,0.122442803,7.5,1.431782106,1.74E+11,42.72430596,BCC,SS,0,0,1,3,,11,,
Be2Ti,2,Be Ti,2 1,1.239333333,1687,1.571348403,1.56,0.014142136,2.666666667,0.942809042,1.23E+11,9.428090416,IM,IM,0,1,0,2,,____,,
CrFe,2,Cr Fe,1 1,1.245,1995.5,0,1.745,0.085,7,1,1.65E+11,5,IM,IM,0,1,0,2,,12,,
FeCoNi,3,Fe Co Ni,1 1 1,1.246,1769,0.509175077,1.873333333,0.032998316,9,0.816496581,1.77E+11,4.714045208,FCC,SS,0,0,1,3,24,9,,
CoCrFeNi,4,Co Cr Fe Ni,1 1 1 1,1.24675,1871.75,1.636975107,1.82,0.096695398,8.25,1.479019946,1.73E+11,8.291561976,FCC,SS,0,0,1,3,15,14,,
CoCr2FeNi,4,Co Cr Fe Ni,1 2 1 1,1.2472,1933.4,1.693299737,1.788,0.107591821,7.8,1.6,1.70E+11,8.94427191,FCC,SS,0,0,1,3,29,10,,
Cu0.76Si0.24,2,Cu Si,0.76 0.24,1.248,1436.7852,2.194182289,1.9,0,9.32,2.989581911,1.30E+11,17.0833252,IM,IM,0,1,0,2,,____,,
Fe89Zr7B4,3,Fe Zr B,89 7 4,1.2495,1854.67,5.58264241,1.8034,0.136222025,7.52,1.374627222,1.69E+11,39.8433835,BCC,SS,0,0,1,3,,11,,
NiCoFeCrMo0.1Al0.3,5,Ni Co Fe Cr Mo Al,1 1 1 1 0.1 0.3,1.249585366,1896.731707,1.694477754,1.828292683,0.108961896,8.195121951,1.501535997,1.74E+11,12.0725548,FCC,SS,0,0,1,3,86,3,,
CoCrCu0.5FeNi,5,Co Cr Cu Fe Ni,1 1 0.5 1 1,1.250222222,1814.641111,3.534533593,1.828888889,0.094568546,8.555555556,1.640535896,1.69E+11,12.862041,FCC,SS,0,0,1,3,80,3,,
CoCrCuFeNi,5,Co Cr Cu Fe Ni,1 1 1 1 1,1.253,1768.954,4.051666324,1.836,0.092217135,8.8,1.720465053,1.66E+11,14.96662955,FCC,SS,0,0,1,3,"2,48",3,,
