Cd3Cu4,2,Cd Cu,3 4,1.402285714,1030.534286,377.8592555,0.06059653,0.682908105,1.81,0.103923048,11.42857143,0.494871659,98000000000,48.49742261,IM,IM,0,1,0,2,,____,,
Ni3Sn4,2,Ni Sn,3 4,1.459714286,1029.188571,605.1884496,0.040397686,0.682908105,1.938571429,0.024743583,6.571428571,2.969229956,1.10E+11,60.37434244,IM,IM,0,1,0,2,,____,,
Al3Zr4,2,Al Zr,3 4,1.529714286,1616.058571,591.1390432,0.444374551,0.682908105,1.45,0.138564065,3.571428571,0.494871659,73047619048,2.556836906,IM,IM,0,1,0,2,,12,,
Dy4Sb3,2,Dy Sb,4 3,1.583714286,1350.191429,386.6036377,0.676661248,0.682908105,1.575714286,0.410743477,3.857142857,0.989743319,41428571429,0.494871659,IM,IM,0,1,0,2,,____,,
Sb3Y4,2,Sb Y,3 4,1.599714286,1415.334286,443.0190068,0.68676067,0.682908105,1.575714286,0.410743477,3.857142857,0.989743319,41428571429,0.494871659,IM,IM,0,1,0,2,,____,,
Al12Mg17,2,Al Mg,12 17,1.531068966,927.3324138,5.156603838,0.02928135,0.678209394,1.434137931,0.147753692,2.413793103,0.492512305,57827586207,15.26788147,IM,IM,0,1,0,2,,____,,
Co2V3,2,Co V,2 3,1.29,2017,203.3076487,0.274342851,0.673011667,1.73,0.122474487,6.6,1.959591794,1.68E+11,9.797958971,IM,IM,0,1,0,2,,____,,
Fe3W2,2,Fe W,3 2,1.2914,2564.6,922.9677351,0,0.673011667,2.042,0.259645913,7.2,0.979795897,2.26E+11,68.5857128,IM,IM,0,1,0,2,,____,,
Cu3Ti2,2,Cu Ti,3 2,1.3516,1591.062,285.7231805,0.176363261,0.673011667,1.756,0.176363261,8.2,3.42928564,1.28E+11,14.69693846,IM,IM,0,1,0,2,,____,,
Al3Ru2,2,Al Ru,3 2,1.3944,1602.882,819.8589138,0.411514277,0.673011667,1.846,0.28903979,5,2.449489743,1.34E+11,70.54530459,IM,IM,0,1,0,2,,____,,
Co3Sn2,2,Co Sn,3 2,1.3986,1262.832,618.7019172,0,0.673011667,1.912,0.039191836,7,2.449489743,1.31E+11,59.76754972,IM,IM,0,1,0,2,,____,,
Ag2Ga3,2,Ag Ga,2 3,1.4132,675.718,456.594686,0.09797959,0.673011667,1.858,0.058787754,6.2,3.919183588,73600000000,21.55550974,IM,IM,0,1,0,2,,____,,
Au3In2,2,Au In,3 2,1.4892,974.298,444.6215802,0.215555097,0.673011667,2.236,0.372322441,7.8,3.919183588,1.45E+11,91.44925006,IM,IM,0,1,0,2,,____,,
Al3Mg2,2,Al Mg,3 2,1.4996,929.282,5.129231521,0.039191836,0.673011667,1.49,0.146969385,2.6,0.489897949,63600000000,15.18683641,IM,IM,0,1,0,2,,____,,
Bi2Mg3,2,Bi Mg,2 3,1.5326,771.68,185.3283939,0.195959179,0.673011667,1.594,0.347827543,3.2,1.469693846,39400000000,6.85857128,IM,IM,0,1,0,2,,____,,
Al2Zr3,2,Al Zr,2 3,1.5346,1650.188,585.1977965,0.862220389,0.673011667,1.442,0.137171426,3.6,0.489897949,72900000000,2.531139401,IM,IM,0,1,0,2,,12,,
Al8V5,2,Al V,8 5,1.387384615,1414.058462,607.9016623,0.41453617,0.666278442,1.617692308,0.009730085,3.769230769,0.973008511,1.08E+11,40.86635745,IM,IM,0,1,0,2,,____,,
Al8Mn5,2,Al Mn,8 5,1.400461538,1158.673846,284.8628367,0.492261702,0.666278442,1.586923077,0.029190255,4.538461538,1.946017022,92923076923,21.40618724,IM,IM,0,1,0,2,,____,,
Ag5Cd8,2,Ag Cd,5 8,1.520692308,840.6469231,311.7081415,0.051817021,0.666278442,1.782307692,0.116761021,11.61538462,0.486504255,64307692308,28.21724681,IM,IM,0,1,0,2,,____,,
Mo5Si3,2,Mo Si,5 3,1.28425,2442.625,585.3046082,1.059018884,0.661563238,2.0625,0.125871959,5.25,0.968245837,1.81E+11,62.93597938,IM,IM,0,1,0,2,,____,,
Pt5Al3,2,Pt Al,5 3,1.403875,1625.92625,536.3743048,1.331338025,0.661563238,2.02875,0.324362355,7.375,3.388860428,1.72E+11,74.55492941,IM,IM,0,1,0,2,,____,,
Dy5Sb3,2,Dy Sb,5 3,1.6075,1392.0425,378.2065062,2.02726472,0.661563238,1.53125,0.401822022,3.75,0.968245837,41375000000,0.484122918,IM,IM,0,1,0,2,,____,,
Sb3Y5,2,Sb Y,3 5,1.625,1463.2925,433.3965189,2.057522403,0.661563238,1.53125,0.401822022,3.75,0.968245837,41375000000,0.484122918,IM,IM,0,1,0,2,,____,,
AlB2,2,Al B,1 2,1.024,1876.49,666.8158368,0,0.636514168,1.896666667,0.202703944,3,0,2.39E+11,115.0227031,IM,IM,0,1,0,2,,____,,
HfB2,2,Hf B,1 2,1.072666667,2400.666667,74.48191428,3.456966486,0.636514168,1.793333333,0.348839345,3.333333333,0.471404521,2.50E+11,98.99494937,IM,IM,0,1,0,2,,____,,
BNi2,2,B Ni,1 2,1.104,1934.666667,292.2708029,1.257078722,0.636514168,1.953333333,0.061282588,7.666666667,3.299831646,2.27E+11,65.99663291,IM,IM,0,1,0,2,,____,,
BCr2,2,B Cr,1 2,1.106,2236,79.19595949,1.623726683,0.636514168,1.786666667,0.179133718,5,1.414213562,2.13E+11,75.42472333,IM,IM,0,1,0,2,,____,,
BCo2,2,B Co ,1 2,1.107333333,1961.333333,273.4146221,1.257078722,0.636514168,1.933333333,0.075424723,7,2.828427125,2.27E+11,65.99663291,IM,IM,0,1,0,2,,____,,
FeSi2,2,Fe Si,1 2,1.182333333,1728.333333,58.45416058,1.833239803,0.636514168,1.876666667,0.032998316,5.333333333,1.885618083,1.23E+11,32.99831646,IM,IM,0,1,0,2,,____,,
CrSi2,2,Cr Si,1 2,1.185,1851.333333,232.4024287,1.937996363,0.636514168,1.82,0.113137085,4.666666667,0.942809042,1.20E+11,28.28427125,IM,IM,0,1,0,2,,____,,
Si2V,2,Si V,2 1,1.207333333,1852.333333,233.8166423,2.514157444,0.636514168,1.81,0.127279221,4.333333333,0.471404521,1.20E+11,28.28427125,IM,IM,0,1,0,2,,____,,
Fe2Si,2,Fe Si,2 1,1.211666667,1769.666667,58.45416058,1.833239803,0.636514168,1.853333333,0.032998316,6.666666667,1.885618083,1.47E+11,32.99831646,IM,IM,0,1,0,2,,____,,
MoSi2,2,Mo Si,1 2,1.223,2090,569.9280656,1.833239803,0.636514168,1.986666667,0.122565175,4.666666667,0.942809042,1.43E+11,61.2825877,IM,IM,0,1,0,2,,____,,
Be2Ti,2,Be Ti,2 1,1.239333333,1687,179.6051224,1.571348403,0.636514168,1.56,0.014142136,2.666666667,0.942809042,1.23E+11,9.428090416,IM,IM,0,1,0,2,,____,,
Cu2Sb,2,Cu Sb,2 1,1.295333333,1206.44,214.0129384,0.366647961,0.636514168,1.95,0.070710678,9,2.828427125,1.07E+11,46.19764304,IM,IM,0,1,0,2,,____,,
Cu2Ti,2,Cu Ti,2 1,1.339333333,1552.18,274.9372587,0.471404521,0.636514168,1.78,0.169705627,8.666666667,3.299831646,1.30E+11,14.14213562,IM,IM,0,1,0,2,,____,,
MgNi2,2,Mg Ni,1 2,1.364333333,1459.666667,379.4806392,0.20951312,0.636514168,1.71,0.282842712,7.333333333,3.771236166,1.35E+11,63.63961031,IM,IM,0,1,0,2,,12,,
AuSb2,2,Au Sb,1 2,1.367333333,1048.296667,204.37743,0.20951312,0.636514168,2.213333333,0.230988215,7,2.828427125,1.01E+11,83.9100047,IM,IM,0,1,0,2,,____,,
Al2Fe,2,Al Fe,2 1,1.368333333,1225.98,413.6716091,0.576161081,0.636514168,1.683333333,0.103708995,4.666666667,2.357022604,1.07E+11,44.31202495,IM,IM,0,1,0,2,,____,,
Cu2In,2,Cu In,2 1,1.372,1048.43,437.4728234,0.523782801,0.636514168,1.86,0.056568542,8.333333333,3.771236166,1.04E+11,50.28472023,IM,IM,0,1,0,2,,____,,
Al2Cu,2,Al Cu,2 1,1.380666667,1074.903333,200.0169382,0.05237828,0.636514168,1.706666667,0.136707311,5.666666667,3.771236166,97333333333,30.16988933,IM,IM,0,1,0,2,,____,,
Cu2Mg,2,Cu Mg,2 1,1.385666667,1212.846667,204.9525435,0.15713484,0.636514168,1.703333333,0.278128667,8,4.242640687,1.08E+11,44.78342948,IM,IM,0,1,0,2,,12,,
AlRe2,2,Al Re,1 2,1.394,2617.156667,1190.546259,0.471404521,0.636514168,1.803333333,0.136707311,5.666666667,1.885618083,2.72E+11,138.5929291,IM,IM,0,1,0,2,,____,,
Al2Ru,2,Al Ru,2 1,1.400666667,1491.313333,788.9096077,1.099943882,0.636514168,1.806666667,0.278128667,4.666666667,2.357022604,1.24E+11,67.88225099,IM,IM,0,1,0,2,,____,,
Al2Mn,2,Al Mn,2 1,1.404666667,1128.646667,276.0214891,0.995187322,0.636514168,1.59,0.028284271,4.333333333,1.885618083,90666666667,20.74179891,IM,IM,0,1,0,2,,____,,
AuGa2,2,Au Ga,1 2,1.408666667,647.7166667,487.6302644,0.995187322,0.636514168,2.053333333,0.3441253,5.666666667,3.771236166,1.11E+11,77.31034141,IM,IM,0,1,0,2,,____,,
PtAl2,2,Pt Al,1 2,1.417,1302.78,522.2832107,2.304644324,0.636514168,1.833333333,0.315841029,5.333333333,3.299831646,1.27E+11,72.5962962,IM,IM,0,1,0,2,,____,,
HfW2,2,Hf W,1 2,1.437333333,3298.666667,560.4999752,0.314269681,0.636514168,2.006666667,0.499688792,5.333333333,0.942809042,2.43E+11,94.28090416,IM,IM,0,1,0,2,,____,,
Au2Bi,2,Au Bi,2 1,1.438,1073.12,373.6493653,0.10475656,0.636514168,2.366666667,0.245130351,9,2.828427125,1.57E+11,89.09545443,IM,IM,0,1,0,2,,____,,
Ag2Al,2,Ag Al,2 1,1.440666667,1134.443333,142.1096068,0.20951312,0.636514168,1.823333333,0.150849447,8.333333333,3.771236166,92000000000,11.3137085,IM,IM,0,1,0,2,,____,,
MgZn2,2,Mg Zn,1 2,1.463666667,769.4533333,108.5738892,0.20951312,0.636514168,1.536666667,0.160277537,8.666666667,4.714045208,61666666667,11.78511302,IM,IM,0,1,0,2,,12,,
Mg2Ni,2,Mg Ni,2 1,1.482666667,1191.333333,379.4806392,0.20951312,0.636514168,1.51,0.282842712,4.666666667,3.771236166,90000000000,63.63961031,IM,IM,0,1,0,2,,____,,
CuMg2,2,Cu Mg,1 2,1.493333333,1067.923333,204.9525435,0.15713484,0.636514168,1.506666667,0.278128667,5,4.242640687,76666666667,44.78342948,IM,IM,0,1,0,2,,____,,
Au2Pb,2,Au Pb,2 1,1.544666667,1091.756667,347.2931386,0.10475656,0.636514168,2.47,0.098994949,8.666666667,3.299831646,1.62E+11,82.02438662,IM,IM,0,1,0,2,,____,,
Al2Sm,2,Al Sm,2 1,1.558,1070.696667,194.0678131,1.990374643,0.636514168,1.463333333,0.207417989,3,0,63333333333,17.91337179,IM,IM,0,1,0,2,,____,,
AuSn2,2,Au Sn,1 2,1.560666667,782.4966667,392.3264124,0.523782801,0.636514168,2.153333333,0.273414622,6.333333333,3.299831646,1.12E+11,76.36753237,IM,IM,0,1,0,2,,____,,
Al2Ce,2,Al Ce,2 1,1.563,979.3133333,64.83226374,1.990374643,0.636514168,1.446666667,0.230988215,3,0,58000000000,25.45584412,IM,IM,0,1,0,2,,____,,
Al2La,2,Al La,2 1,1.581,1019.98,122.3436153,1.990374643,0.636514168,1.44,0.240416306,3,0,60000000000,22.627417,IM,IM,0,1,0,2,,____,,
AuPb2,2,Au Pb,1 2,1.647333333,846.1833333,347.2931386,0.10475656,0.636514168,2.4,0.098994949,6.333333333,3.299831646,1.04E+11,82.02438662,IM,IM,0,1,0,2,,____,,
AlEr2,2,Al Er,1 2,1.648,1491.156667,394.3440238,1.990374643,0.636514168,1.363333333,0.174419673,3,0,54666666667,15.08494467,IM,IM,0,1,0,2,,____,,
Mg2Sm1,2,Mg Sm,2 1,1.670666667,1063.716667,199.0034185,0.314269681,0.636514168,1.263333333,0.065996633,2.333333333,0.471404521,42666666667,3.299831646,IM,IM,0,1,0,2,,____,,
Cu9In4,2,Cu In,9 4,1.364769231,1072.225385,428.3169231,0.682749203,0.61724177,1.863076923,0.055384615,8.538461538,3.692307692,1.07E+11,49.23230769,IM,IM,0,1,0,2,,____,,
Al4Li9,2,Al Li,4 9,1.492230769,601.3146154,221.4369231,0.273099681,0.61724177,1.173846154,0.290769231,1.615384615,0.923076923,31000000000,30,IM,IM,0,1,0,2,,____,,
Zr70Pd30,2,Zr Pd,70 30,1.5346,2038.015,137.454358,6.672230212,0.610864302,1.591,0.398684085,5.8,2.749545417,1.04E+11,50.02645134,AM,AM,1,0,0,1,100,1,,
Bi3Pb7,2,Bi Pb,3 7,1.654,583.837,25.62118071,0,0.610864302,2.237,0.142059847,4.3,0.458257569,41500000000,6.873863542,IM,IM,0,1,0,2,,____,,
Al5Co2,2,Al Co,5 2,1.380285714,1171.907143,377.0022251,1.576529096,0.598269589,1.687142857,0.121973567,4.714285714,2.710523709,1.06E+11,46.98241095,IM,IM,0,1,0,2,,____,,
Al3Ca8,2,Al Ca,3 8,1.827636364,1065.491818,80.84652236,1.840337898,0.585952618,1.166363636,0.271670681,2.272727273,0.445361771,33090909091,26.27634451,IM,IM,0,1,0,2,,____,,
Al11Mn4,2,Al Mn,11 4,1.410133333,1089.611333,258.9311085,1.829794181,0.579915171,1.594,0.026532998,4.066666667,1.768866555,87733333333,19.4575321,IM,IM,0,1,0,2,,____,,
BNi3,2,B Ni,1 3,1.1395,1883,268.4678752,2.598076211,0.562335145,1.9425,0.056291651,8.25,3.031088913,2.15E+11,60.62177826,IM,IM,0,1,0,2,,____,,
Be3Nb,2,Be Nb,3 1,1.20325,1857.5,515.2851153,2.706329387,0.562335145,1.5775,0.012990381,2.75,1.299038106,1.40E+11,17.32050808,IM,IM,0,1,0,2,,12,,
Cr3Si,2,Cr Si,3 1,1.225,2056.75,213.475262,4.005367493,0.562335145,1.72,0.103923048,5.5,0.866025404,1.45E+11,25.98076211,IM,IM,0,1,0,2,,12,,
Cu3Ge,2,Cu Ge,3 1,1.2685,1321.1775,63.38006918,1.244911518,0.562335145,1.9275,0.047631397,9.25,3.031088913,1.05E+11,60.62177826,IM,IM,0,1,0,2,,____,,
Cu3Sb,2,Cu Sb,3 1,1.291,1244.2725,196.5834365,0.757772228,0.562335145,1.9375,0.064951905,9.5,2.598076211,1.16E+11,42.43524479,IM,IM,0,1,0,2,,____,,
Mo3Si,2,Mo Si,3 1,1.3105,2593.75,523.5123566,3.788861142,0.562335145,2.095,0.112583302,5.5,0.866025404,1.98E+11,56.29165125,IM,IM,0,1,0,2,,____,,
AuCu3,2,Au Cu,1 3,1.319,1352.66,8.850779627,0.974278579,0.562335145,2.06,0.277128129,11,0,1.60E+11,34.64101615,IM,IM,0,1,0,2,,12,,
Pd75Si25,2,Pd Si,75 25,1.3195,1792.7875,61.0764416,5.953924651,0.562335145,2.125,0.129903811,8.5,2.598076211,1.60E+11,34.64101615,AM,AM,1,0,0,1,9,1,,
Ni3Sn,2,Ni Sn,3 1,1.3395,1422.27,529.5398934,0.433012702,0.562335145,1.9225,0.021650635,8.5,2.598076211,1.50E+11,52.82754963,IM,IM,0,1,0,2,,12,,
Pt3Al,2,Pt Al,3 1,1.39825,1764.4175,479.7477628,4.763139721,0.562335145,2.1125,0.29011851,8.25,3.031088913,1.92E+11,66.68395609,IM,IM,0,1,0,2,,____,,
AgPt3,2,Ag Pt,1 3,1.4015,1839.7825,349.2117537,0.108253175,0.562335145,2.1925,0.151554446,10.25,0.433012702,1.98E+11,56.29165125,IM,IM,0,1,0,2,,____,,
Al3V,2,Al V,3 1,1.403,1245.8525,541.0623614,1.732050808,0.562335145,1.615,0.008660254,3.5,0.866025404,97000000000,36.37306696,IM,IM,0,1,0,2,,____,,
AgZn3,2,Ag Zn,1 3,1.4075,828.2425,234.8011376,0.433012702,0.562335145,1.72,0.121243557,11.75,0.433012702,77500000000,12.99038106,IM,IM,0,1,0,2,,____,,
Ag3Sb,2,Ag Sb,3 1,1.41625,1152.1425,143.3921562,0.433012702,0.562335145,1.96,0.051961524,9.5,2.598076211,85500000000,25.11473671,IM,IM,0,1,0,2,,____,,
Ag3Ga,2,Ag Ga,3 1,1.43175,1001.925,403.5764984,0.541265877,0.562335145,1.9,0.051961524,9,3.464101615,89000000000,19.05255888,IM,IM,0,1,0,2,,____,,
Al3Ti,2,Al Ti,3 1,1.4395,1185.3525,436.2732875,3.247595264,0.562335145,1.5925,0.030310889,3.25,0.433012702,84500000000,14.72243186,IM,IM,0,1,0,2,,12,,
AgTi3,2,Ag Ti,1 3,1.45775,1764.4825,305.7372784,0.216506351,0.562335145,1.6375,0.168874954,5.75,3.031088913,1.08E+11,4.330127019,IM,IM,0,1,0,2,,____,,
Al3In,2,Al In,3 1,1.464,807.54,218.1171582,0.757772228,0.562335145,1.6525,0.073612159,3,0,65332500000,18.47665199,IM,IM,0,1,0,2,,____,,
Al3Zr,2,Al Zr,3 1,1.47475,1232.1025,517.2466628,4.763139721,0.562335145,1.54,0.121243557,3.25,0.433012702,74708333333,2.237232293,IM,IM,0,1,0,2,,____,,
Ag3Sn,2,Ag Sn,3 1,1.48875,1052.4675,316.0343205,0.324759526,0.562335145,1.9375,0.012990381,9.25,3.031088913,89500000000,18.18653348,IM,IM,0,1,0,2,,____,,
Al3Yb,2,Al Yb,3 1,1.499,973.1025,68.64550363,2.165063509,0.562335145,1.4825,0.220836478,3,0,64750000000,19.48557159,IM,IM,0,1,0,2,,____,,
AgMg3,2,Ag Mg,1 3,1.562,1000.9825,135.0696521,1.082531755,0.562335145,1.465,0.268467875,4.25,3.897114317,58750000000,23.8156986,IM,IM,0,1,0,2,,____,,
Cd3Mg,2,Cd Mg,3 1,1.57625,676.415,142.3659161,0.649519053,0.562335145,1.595,0.164544827,9.5,4.330127019,42750000000,1.299038106,IM,IM,0,1,0,2,,____,,
CdMg3,2,Cd Mg,1 3,1.59275,840.805,142.3659161,0.649519053,0.562335145,1.405,0.164544827,4.5,4.330127019,44250000000,1.299038106,IM,IM,0,1,0,2,,____,,
Mg3Sm1,2,Mg Sm,3 1,1.65325,1028.5375,182.7963121,0.649519053,0.562335145,1.275,0.060621778,2.25,0.433012702,43250000000,3.031088913,IM,IM,0,1,0,2,,____,,
AuPb3,2,Au Pb,1 3,1.673,784.79,319.0091177,0.216506351,0.562335145,2.3825,0.090932667,5.75,3.031088913,89500000000,75.34421013,IM,IM,0,1,0,2,,____,,
Cu0.76Si0.24,2,Cu Si,0.76 0.24,1.248,1436.7852,140.6085789,2.194182289,0.551079928,1.9,0,9.32,2.989581911,1.30E+11,17.0833252,IM,IM,0,1,0,2,,____,,
Al13Co4,2,Al Co,13 4,1.389411765,1129.83,353.9930242,2.25888191,0.545594574,1.673529412,0.114529276,4.411764706,2.545095018,1.00E+11,44.11498031,IM,IM,0,1,0,2,,____,,
Al13Ru4,2,Al Ru,13 4,1.409882353,1327.241765,709.8821442,2.496658954,0.545594574,1.748823529,0.250267677,4.176470588,2.120912515,1.10E+11,61.08228043,IM,IM,0,1,0,2,,____,,
Cu10Sn3,2,Cu Sn,10 3,1.356923077,1160.995385,359.259652,0.855115326,0.540204142,1.913846154,0.025279503,9.384615385,2.94927531,1.21E+11,34.54865363,IM,IM,0,1,0,2,,____,,
Cd10Cu3,2,Cd Cu,10 3,1.501076923,770.4238462,321.7027375,0.732955994,0.540204142,1.738461538,0.088478259,11.76923077,0.421325044,64615384615,41.28985434,IM,IM,0,1,0,2,,____,,
Cu51Hf14,2,Cu Hf,51 14,1.342615385,1605.081077,472.0246064,2.264443064,0.521004041,1.770769231,0.246653339,9.492307692,2.877622293,1.34E+11,12.33266697,IM,IM,0,1,0,2,,____,,
